,source,destination,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
122,austin_demand_fuelStation,austin_priceFuelStation_7.050000,,,,,,0.0
123,austin_demand_fuelStation,austin_priceFuelStation_7.100000,,,,,,0.0
124,austin_demand_fuelStation,austin_priceFuelStation_7.150000,,,,,,0.0
125,austin_demand_fuelStation,austin_priceFuelStation_7.200000,,,,,,0.0
126,austin_demand_fuelStation,austin_priceFuelStation_7.250000,,,,,,0.0
127,austin_demand_fuelStation,austin_priceFuelStation_7.300000,,,,,,0.0
128,austin_demand_fuelStation,austin_priceFuelStation_7.350000,,,,,,0.0
129,austin_demand_fuelStation,austin_priceFuelStation_7.400000,,,,,,0.0
130,austin_demand_fuelStation,austin_priceFuelStation_7.450000,,,,,,0.0
131,austin_demand_fuelStation,austin_priceFuelStation_7.500000,,,,,,0.01
132,austin_demand_fuelStation,austin_priceFuelStation_7.550000,,,,,,0.01
133,austin_demand_fuelStation,austin_priceFuelStation_7.600000,,,,,,0.01
134,austin_demand_fuelStation,austin_priceFuelStation_7.650000,,,,,,0.01
135,austin_demand_fuelStation,austin_priceFuelStation_7.700000,,,,,,0.01
136,austin_demand_fuelStation,austin_priceFuelStation_7.750000,,,,,,0.01
137,austin_demand_fuelStation,austin_priceFuelStation_7.800000,,,,,,0.01
138,austin_demand_fuelStation,austin_priceFuelStation_7.850000,,,,,,0.01
139,austin_demand_fuelStation,austin_priceFuelStation_7.900000,,,,,,0.01
140,austin_demand_fuelStation,austin_priceFuelStation_7.950000,,,,,,0.01
141,austin_demand_fuelStation,austin_priceFuelStation_8.000000,,,,,,0.01
142,austin_demand_fuelStation,austin_priceFuelStation_8.050000,,,,,,0.01
143,austin_demand_fuelStation,austin_priceFuelStation_8.100000,,,,,,0.01
144,austin_demand_fuelStation,austin_priceFuelStation_8.150000,,,,,,0.01
145,austin_demand_fuelStation,austin_priceFuelStation_8.200000,,,,,,0.01
146,austin_demand_fuelStation,austin_priceFuelStation_8.250000,,,,,,0.01
147,austin_demand_fuelStation,austin_priceFuelStation_8.300000,,,,,,0.01
148,austin_demand_fuelStation,austin_priceFuelStation_8.350000,,,,,,0.01
149,austin_demand_fuelStation,austin_priceFuelStation_8.400000,,,,,,0.01
150,austin_demand_fuelStation,austin_priceFuelStation_8.450000,,,,,,0.01
151,austin_demand_fuelStation,austin_priceFuelStation_8.500000,,,,,,0.01
152,austin_demand_fuelStation,austin_priceFuelStation_8.550000,,,,,,0.01
153,austin_demand_fuelStation,austin_priceFuelStation_8.600000,,,,,,0.01
154,austin_demand_fuelStation,austin_priceFuelStation_8.650000,,,,,,0.01
155,austin_demand_fuelStation,austin_priceFuelStation_8.700000,,,,,,0.01
156,austin_demand_fuelStation,austin_priceFuelStation_8.750000,,,,,,0.01
157,austin_demand_fuelStation,austin_priceFuelStation_8.800000,,,,,,0.01
158,austin_demand_fuelStation,austin_priceFuelStation_8.850000,,,,,,0.01
159,austin_demand_fuelStation,austin_priceFuelStation_8.900000,,,,,,0.01
160,austin_demand_fuelStation,austin_priceFuelStation_8.950000,,,,,,0.01
161,austin_dist_pipelineHighPurity,austin_converter_fuelDispenserPipeline,,,,,,0.0
162,austin_dist_pipelineHighPurity,austin_demand_highPurity,0.0,,,,99999999.9,0.0
163,austin_dist_pipelineHighPurity,austin_demand_lowPurity,0.0,,,,99999999.9,0.0
164,austin_dist_pipelineHighPurity,sanAntonio_dist_pipelineHighPurity,0.0,192000000.0,26304.0,16.0,999999.0,0.0
165,austin_dist_pipelineHighPurity,waco_dist_pipelineHighPurity,0.0,182400000.0,24988.8,15.200000000000001,999999.0,0.0
166,austin_dist_pipelineLowPurity,austin_demand_lowPurity,0.0,,,,99999999.9,0.0
167,austin_dist_pipelineLowPurity,sanAntonio_dist_pipelineLowPurity,0.0,192000000.0,26304.0,16.0,999999.0,0.0
168,austin_dist_pipelineLowPurity,waco_dist_pipelineLowPurity,0.0,182400000.0,24988.8,15.200000000000001,999999.0,0.0
169,austin_dist_truckCompressed,austin_converter_fuelDispenserGas,,,,,,0.0
170,austin_dist_truckCompressed,austin_demand_highPurity,0.0,,,,99999999.9,0.0
171,austin_dist_truckCompressed,austin_demand_lowPurity,0.0,,,,99999999.9,0.0
172,austin_dist_truckCompressed,sanAntonio_dist_truckCompressed,,,,1212.8,,0.0
173,austin_dist_truckCompressed,waco_dist_truckCompressed,,,,1152.16,,0.0
174,austin_dist_truckLiquefied,austin_converter_fuelDispenserLiquid,,,,,,60.3
175,austin_dist_truckLiquefied,austin_demand_highPurity,0.0,,,,99999999.9,0.0
176,austin_dist_truckLiquefied,austin_demand_lowPurity,0.0,,,,99999999.9,0.0
177,austin_dist_truckLiquefied,sanAntonio_dist_truckLiquefied,,,,81.6,,0.0
178,austin_dist_truckLiquefied,waco_dist_truckLiquefied,,,,77.52,,0.0
179,austin_hub_highPurity,austin_converter_compression,,,,,,0.0
180,austin_hub_highPurity,austin_converter_liquefaction,,,,,,0.0
181,austin_hub_highPurity,austin_dist_pipelineHighPurity,0.0,,,,99999999.9,0.0
182,austin_hub_lowPurity,austin_converter_purification,,,,,,0.0
183,austin_hub_lowPurity,austin_dist_pipelineLowPurity,0.0,,,,99999999.9,0.0
184,baytown_converter_compression,baytown_converter_terminalGas,,,,,,0.0
185,baytown_converter_fuelDispenserGas,baytown_demand_fuelStation,0.0,,,,99999999.9,0.0
186,baytown_converter_fuelDispenserLiquid,baytown_demand_fuelStation,0.0,,,,99999999.9,0.0
187,baytown_converter_fuelDispenserPipeline,baytown_demand_fuelStation,0.0,,,,99999999.9,0.0
188,baytown_converter_liquefaction,baytown_converter_terminalLiquid,,,,,,0.0
189,baytown_converter_purification,baytown_hub_highPurity,0.0,,,,99999999.9,0.0
190,baytown_converter_terminalGas,baytown_dist_truckCompressed,0.0,381000.0,52.19,,2.6,0.0
191,baytown_converter_terminalLiquid,baytown_dist_truckLiquefied,0.0,1016000.0,139.18,,8.0,0.0
192,baytown_demand_lowPurity,baytown_demandSector_existing,0.0,,,,99999999.9,538.0
193,baytown_demand_lowPurity,baytown_demandSector_existing_carbonSensitive,0.0,,,,99999999.9,0.0
194,baytown_dist_pipelineHighPurity,baytown_converter_fuelDispenserPipeline,,,,,,0.0
195,baytown_dist_pipelineHighPurity,baytown_demand_highPurity,0.0,,,,99999999.9,0.0
