,convertor,conv_capacity,conv_cost_capital_coeff,conv_cost_fixed,conv_cost_variable,conv_kwh_variable_coeff,conv_utilization,fuelStation_cost_capital_subsidy
102,'freeport_converter_terminalGas',-0.0,750500,260,0,0,0.85,
103,'freeport_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
104,'houston_converter_compression',0.0,1000000,0,0,850,0.95,
105,'houston_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
106,'houston_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
107,'houston_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
108,'houston_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
109,'houston_converter_purification',0.0,480000,0,0,1800,0.95,
110,'houston_converter_terminalGas',0.0,750500,260,0,0,0.85,
111,'houston_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
112,'laPorte_converter_compression',-0.0,1000000,0,0,850,0.95,
113,'laPorte_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
114,'laPorte_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
115,'laPorte_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
116,'laPorte_converter_liquefaction',411.21052631579,1920000,0,0,7200,0.95,
117,'laPorte_converter_purification',411.21052631579,480000,0,0,1800,0.95,
118,'laPorte_converter_terminalGas',-0.0,750500,260,0,0,0.85,
119,'laPorte_converter_terminalLiquid',459.588235294118,1175000,290,0,0,0.85,
120,'laredo_converter_compression',0.0,1000000,0,0,850,0.95,
121,'laredo_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
122,'laredo_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
123,'laredo_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
124,'laredo_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
125,'laredo_converter_purification',0.0,480000,0,0,1800,0.95,
126,'laredo_converter_terminalGas',0.0,750500,260,0,0,0.85,
127,'laredo_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
128,'mcallen_converter_compression',0.0,1000000,0,0,850,0.95,
129,'mcallen_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
130,'mcallen_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
131,'mcallen_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
132,'mcallen_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
133,'mcallen_converter_purification',0.0,480000,0,0,1800,0.95,
134,'mcallen_converter_terminalGas',0.0,750500,260,0,0,0.85,
135,'mcallen_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
136,'medicalCenter_converter_compression',0.0,1000000,0,0,850,0.95,
137,'medicalCenter_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
138,'medicalCenter_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
139,'medicalCenter_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
140,'medicalCenter_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
141,'medicalCenter_converter_purification',0.0,480000,0,0,1800,0.95,
142,'medicalCenter_converter_terminalGas',0.0,750500,260,0,0,0.85,
143,'medicalCenter_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
144,'midland_converter_compression',0.0,1000000,0,0,850,0.95,
145,'midland_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
146,'midland_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
147,'midland_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
148,'midland_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
149,'midland_converter_purification',0.0,480000,0,0,1800,0.95,
150,'midland_converter_terminalGas',0.0,750500,260,0,0,0.85,
151,'midland_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
152,'montBelvieu_converter_compression',-0.0,1000000,0,0,850,0.95,
153,'montBelvieu_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
154,'montBelvieu_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
155,'montBelvieu_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
156,'montBelvieu_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
157,'montBelvieu_converter_purification',-0.0,480000,0,0,1800,0.95,
158,'montBelvieu_converter_terminalGas',-0.0,750500,260,0,0,0.85,
159,'montBelvieu_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
160,'orange_converter_compression',-0.0,1000000,0,0,850,0.95,
161,'orange_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
162,'orange_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
163,'orange_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
164,'orange_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
165,'orange_converter_purification',-0.0,480000,0,0,1800,0.95,
166,'orange_converter_terminalGas',-0.0,750500,260,0,0,0.85,
167,'orange_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
168,'pasadena_converter_compression',-0.0,1000000,0,0,850,0.95,
169,'pasadena_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
170,'pasadena_converter_fuelDispenserLiquid',83.9166666666667,5525000,1500,0,560,0.6,46363958.3333333
171,'pasadena_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
172,'pasadena_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
173,'pasadena_converter_purification',-0.0,480000,0,0,1800,0.95,
174,'pasadena_converter_terminalGas',-0.0,750500,260,0,0,0.85,
175,'pasadena_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
176,'portArthur_converter_compression',-0.0,1000000,0,0,850,0.95,
177,'portArthur_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
178,'portArthur_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
179,'portArthur_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
180,'portArthur_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
181,'portArthur_converter_purification',-0.0,480000,0,0,1800,0.95,
182,'portArthur_converter_terminalGas',-0.0,750500,260,0,0,0.85,
183,'portArthur_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
184,'sanAntonio_converter_compression',0.0,1000000,0,0,850,0.95,
185,'sanAntonio_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
186,'sanAntonio_converter_fuelDispenserLiquid',166.666666666667,5525000,1500,0,560,0.6,92083333.3333333
187,'sanAntonio_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
188,'sanAntonio_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
189,'sanAntonio_converter_purification',0.0,480000,0,0,1800,0.95,
190,'sanAntonio_converter_terminalGas',0.0,750500,260,0,0,0.85,
191,'sanAntonio_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
192,'sanJacinto_converter_compression',-0.0,1000000,0,0,850,0.95,
193,'sanJacinto_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
194,'sanJacinto_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
195,'sanJacinto_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
196,'sanJacinto_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
197,'sanJacinto_converter_purification',-0.0,480000,0,0,1800,0.95,
198,'sanJacinto_converter_terminalGas',-0.0,750500,260,0,0,0.85,
199,'sanJacinto_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
200,'sonora_converter_compression',0.0,1000000,0,0,850,0.95,
201,'sonora_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
202,'sonora_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
203,'sonora_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
204,'sonora_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
205,'sonora_converter_purification',0.0,480000,0,0,1800,0.95,
206,'sonora_converter_terminalGas',0.0,750500,260,0,0,0.85,
207,'sonora_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
208,'texarkana_converter_compression',0.0,1000000,0,0,850,0.95,
209,'texarkana_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
210,'texarkana_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
211,'texarkana_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
212,'texarkana_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
213,'texarkana_converter_purification',0.0,480000,0,0,1800,0.95,
214,'texarkana_converter_terminalGas',0.0,750500,260,0,0,0.85,
215,'texarkana_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
216,'texasCity_converter_compression',-0.0,1000000,0,0,850,0.95,
217,'texasCity_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
218,'texasCity_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
219,'texasCity_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
220,'texasCity_converter_liquefaction',-0.0,1920000,0,0,7200,0.95,
221,'texasCity_converter_purification',-0.0,480000,0,0,1800,0.95,
222,'texasCity_converter_terminalGas',-0.0,750500,260,0,0,0.85,
223,'texasCity_converter_terminalLiquid',-0.0,1175000,290,0,0,0.85,
224,'vanHorn_converter_compression',0.0,1000000,0,0,850,0.95,
225,'vanHorn_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
226,'vanHorn_converter_fuelDispenserLiquid',-0.0,5525000,1500,0,560,0.6,0.0
227,'vanHorn_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
228,'vanHorn_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
229,'vanHorn_converter_purification',0.0,480000,0,0,1800,0.95,
230,'vanHorn_converter_terminalGas',0.0,750500,260,0,0,0.85,
231,'vanHorn_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
232,'waco_converter_compression',0.0,1000000,0,0,850,0.95,
233,'waco_converter_fuelDispenserGas',-0.0,10030000,1575,0,1970,0.6,0.0
234,'waco_converter_fuelDispenserLiquid',83.3333333333333,5525000,1500,0,560,0.6,46041666.6666667
235,'waco_converter_fuelDispenserPipeline',-0.0,10030000,1575,0,1970,0.6,0.0
236,'waco_converter_liquefaction',0.0,1920000,0,0,7200,0.95,
237,'waco_converter_purification',0.0,480000,0,0,1800,0.95,
238,'waco_converter_terminalGas',0.0,750500,260,0,0,0.85,
239,'waco_converter_terminalLiquid',0.0,1175000,290,0,0,0.85,
