import time: self [us] | cumulative | imported package
import time:       797 |       2904 |             pandas.core.arrays.integer
import time:       656 |        656 |             pandas.tseries.offsets
import time:      1229 |       8554 |           pandas.core.arrays.datetimes
import time:       691 |        691 |           pandas.core.arrays.floating
import time:       570 |        570 |               pandas.core.indexes
import time:      1975 |       1975 |               pandas._libs.index
import time:      2847 |       2847 |               pandas._libs.join
import time:       771 |        771 |               pandas.core.array_algos.putmask
import time:      1934 |       1934 |                     pandas._libs.sparse
import time:       648 |        648 |                     pandas.core.arrays.sparse.dtype
import time:       828 |        828 |                     pandas.io.formats.printing
import time:      1076 |       4484 |                   pandas.core.arrays.sparse.array
import time:       925 |       5409 |                 pandas.core.arrays.sparse.accessor
import time:       704 |       6112 |               pandas.core.arrays.sparse
import time:       584 |        584 |               pandas.core.indexes.frozen
import time:      3044 |      15901 |             pandas.core.indexes.base
import time:      1683 |      17584 |           pandas.core.arrays.interval
import time:       695 |        695 |           pandas.core.arrays.numpy_
import time:      1078 |       1078 |           pandas.core.arrays.period
import time:       786 |        786 |           pandas.core.arrays.string_
import time:       897 |        897 |           pandas.core.arrays.string_arrow
import time:       996 |        996 |           pandas.core.arrays.timedeltas
import time:       801 |      86158 |         pandas.core.arrays
import time:       678 |        678 |         pandas.core.flags
import time:      1173 |       1173 |             pandas._libs.reduction
import time:      1310 |       1310 |             pandas.core.apply
import time:      1208 |       1208 |                   pandas._libs.indexing
import time:       753 |        753 |                       pandas.core.indexes.extension
import time:       928 |       1680 |                     pandas.core.indexes.category
import time:      1023 |       1023 |                           pandas.core.indexes.numeric
import time:      1160 |       2182 |                         pandas.core.indexes.range
import time:       784 |        784 |                         pandas.core.tools.timedeltas
import time:      1245 |       4210 |                       pandas.core.indexes.datetimelike
import time:       612 |        612 |                       pandas.core.tools.times
import time:      1772 |       6593 |                     pandas.core.indexes.datetimes
import time:      2468 |       2468 |                       pandas.core.indexes.multi
import time:       674 |        674 |                       pandas.core.indexes.timedeltas
import time:      1334 |       4474 |                     pandas.core.indexes.interval
import time:       837 |        837 |                     pandas.core.indexes.period
import time:       698 |      14281 |                   pandas.core.indexes.api
import time:      1758 |      17246 |                 pandas.core.indexing
import time:       579 |        579 |                 pandas.core.array_algos.replace
import time:       578 |        578 |                     pandas.core.reshape
import time:      1194 |       1194 |                           backports_abc
import time:      1430 |       2624 |                         pandas._libs.internals
import time:      1286 |       1286 |                           pandas._libs.writers
import time:      1334 |       2620 |                         pandas.core.internals.blocks
import time:       664 |       5906 |                       pandas.core.internals.api
import time:       696 |        696 |                         pandas.core.internals.base
import time:      1179 |       1874 |                       pandas.core.internals.array_manager
import time:       718 |        718 |                           pandas.core.internals.ops
import time:      1122 |       1839 |                         pandas.core.internals.managers
import time:       731 |       2570 |                       pandas.core.internals.concat
import time:       550 |      10899 |                     pandas.core.internals
import time:       854 |      12330 |                   pandas.core.reshape.concat
import time:        82 |         82 |                       mmap
import time:      4049 |       4049 |                       zipfile
import time:       608 |        608 |                       pandas.core.shared_docs
import time:      2059 |       6796 |                     pandas.io.common
import time:      1190 |       7986 |                   pandas.io.formats.format
import time:       705 |      21020 |                 pandas.core.describe
import time:       837 |        837 |                 pandas.core.internals.construction
import time:       586 |        586 |                 pandas.core.sample
import time:       632 |        632 |                       pandas._libs.window
import time:      2364 |       2996 |                     pandas._libs.window.aggregations
import time:      1212 |       1212 |                       pandas._libs.window.indexers
import time:       957 |       2169 |                     pandas.core.indexers.objects
import time:       644 |        644 |                     pandas.core.util.numba_
import time:       567 |        567 |                     pandas.core.window.common
import time:       673 |        673 |                     pandas.core.window.doc
import time:       618 |        618 |                     pandas.core.window.numba_
import time:       654 |        654 |                     pandas.core.window.online
import time:       558 |        558 |                       pandas.core._numba
import time:       684 |        684 |                       pandas.core._numba.executor
import time:      2458 |       3698 |                     pandas.core.window.rolling
import time:      1413 |      13428 |                   pandas.core.window.ewm
import time:      1652 |       1652 |                   pandas.core.window.expanding
import time:       665 |      15744 |                 pandas.core.window
import time:      6878 |      62886 |               pandas.core.generic
import time:       556 |        556 |                 pandas.core.reshape.util
import time:       952 |       1508 |               pandas.core.reshape.melt
import time:      1371 |       1371 |                 pandas._libs.reshape
import time:      1599 |       1599 |                 pandas.core.indexes.accessors
import time:       716 |        716 |                   pandas.arrays
import time:      1027 |       1742 |                 pandas.core.tools.datetimes
import time:      1565 |       1565 |                 pandas.io.formats.info
import time:      1904 |       1904 |                   pandas.plotting._core
import time:       611 |        611 |                   pandas.plotting._misc
import time:       734 |       3248 |                 pandas.plotting
import time:     10003 |      19526 |               pandas.core.series
import time:      9480 |      93398 |             pandas.core.frame
import time:      2162 |       2162 |             pandas.core.groupby.base
import time:      1277 |       1277 |                 backports_abc
import time:      1997 |       3274 |               pandas._libs.groupby
import time:       898 |        898 |               pandas.core.groupby.numba_
import time:       632 |        632 |                   pandas.core.groupby.categorical
import time:       923 |       1555 |                 pandas.core.groupby.grouper
import time:      1289 |       2843 |               pandas.core.groupby.ops
import time:       905 |        905 |               pandas.core.groupby.indexing
import time:      3597 |      11514 |             pandas.core.groupby.groupby
import time:      2969 |     112524 |           pandas.core.groupby.generic
import time:       650 |     113174 |         pandas.core.groupby
import time:       645 |     209187 |       pandas.core.api
import time:       713 |        713 |       pandas.tseries.api
import time:       498 |        498 |               pandas.core.computation.common
import time:       660 |       1158 |             pandas.core.computation.align
import time:      1162 |       1162 |                   pprint
import time:       725 |        725 |                   pandas.compat.chainmap
import time:       735 |       2622 |                 pandas.core.computation.scope
import time:      1230 |       3851 |               pandas.core.computation.ops
import time:       624 |        624 |               pandas.core.computation.parsing
import time:      1806 |       6280 |             pandas.core.computation.expr
import time:       714 |       8150 |           pandas.core.computation.engines
import time:       636 |       8786 |         pandas.core.computation.eval
import time:       575 |       9361 |       pandas.core.computation.api
import time:      1424 |       1424 |         pandas.core.reshape.merge
import time:      1935 |       1935 |         pandas.core.reshape.pivot
import time:       893 |        893 |         pandas.core.reshape.reshape
import time:       729 |        729 |         pandas.core.reshape.tile
import time:       658 |       5637 |       pandas.core.reshape.api
import time:       913 |        913 |         pandas.api.extensions
import time:       703 |        703 |         pandas.api.indexers
import time:       529 |        529 |           pandas.core.dtypes.api
import time:       757 |       1285 |         pandas.api.types
import time:       759 |       3658 |       pandas.api
import time:       579 |        579 |             pandas._testing._random
import time:       595 |        595 |             pandas._testing.contexts
import time:       751 |       1925 |           pandas._testing._io
import time:       540 |        540 |           pandas._testing._warnings
import time:        78 |         78 |               cmath
import time:      1147 |       1225 |             pandas._libs.testing
import time:       859 |       2083 |           pandas._testing.asserters
import time:       524 |        524 |           pandas._testing.compat
import time:      1184 |       6254 |         pandas._testing
import time:       494 |       6748 |       pandas.testing
import time:       608 |        608 |       pandas.util._print_versions
import time:       579 |        579 |         pandas.io.clipboards
import time:      1332 |       1332 |               backports_abc
import time:      1601 |       2932 |             pandas._libs.parsers
import time:      1593 |       1593 |             pandas.io.excel._util
import time:       564 |        564 |                     pandas.io.date_converters
import time:      1247 |       1810 |                   pandas.io.parsers.base_parser
import time:       980 |       2790 |                 pandas.io.parsers.arrow_parser_wrapper
import time:       715 |        715 |                 pandas.io.parsers.c_parser_wrapper
import time:       914 |        914 |                 pandas.io.parsers.python_parser
import time:      2755 |       7172 |               pandas.io.parsers.readers
import time:       732 |       7904 |             pandas.io.parsers
import time:       740 |        740 |             pandas.io.excel._odfreader
import time:       686 |        686 |             pandas.io.excel._openpyxl
import time:       626 |        626 |             pandas.io.excel._pyxlsb
import time:       633 |        633 |             pandas.io.excel._xlrd
import time:      1534 |      16645 |           pandas.io.excel._base
import time:      1168 |       1168 |             pandas._libs.json
import time:       592 |        592 |               pandas.io.formats._color_data
import time:       635 |        635 |               pandas.io.formats.css
import time:       981 |       2208 |             pandas.io.formats.excel
import time:       664 |       4039 |           pandas.io.excel._odswriter
import time:       773 |        773 |           pandas.io.excel._xlsxwriter
import time:       587 |        587 |           pandas.io.excel._xlwt
import time:       688 |      22731 |         pandas.io.excel
import time:       625 |        625 |         pandas.io.feather_format
import time:       566 |        566 |         pandas.io.gbq
import time:      1065 |       1065 |         pandas.io.html
import time:      1048 |       1048 |             pandas.io.json._normalize
import time:       684 |        684 |             pandas.io.json._table_schema
import time:      1808 |       3540 |           pandas.io.json._json
import time:       779 |       4318 |         pandas.io.json
import time:       533 |        533 |         pandas.io.orc
import time:      1027 |       1027 |         pandas.io.parquet
import time:       759 |        759 |           pandas.compat.pickle_compat
import time:       838 |       1596 |         pandas.io.pickle
import time:       982 |        982 |           pandas.core.computation.pytables
import time:      2173 |       3154 |         pandas.io.pytables
import time:       724 |        724 |           pandas.io.sas.sasreader
import time:       628 |       1351 |         pandas.io.sas
import time:       517 |        517 |         pandas.io.spss
import time:      1051 |       1051 |         pandas.io.sql
import time:      1893 |       1893 |         pandas.io.stata
import time:      1136 |       1136 |         pandas.io.xml
import time:       687 |      42825 |       pandas.io.api
import time:       594 |        594 |       pandas.util._tester
import time:       484 |        484 |       pandas._version
import time:      3162 |     379326 |     pandas
import time:       702 |        702 |       yaml.error
import time:       650 |        650 |       yaml.tokens
import time:       643 |        643 |       yaml.events
import time:       534 |        534 |       yaml.nodes
import time:      7071 |       7071 |         yaml.reader
import time:       780 |        780 |         yaml.scanner
import time:       674 |        674 |         yaml.parser
import time:       674 |        674 |         yaml.composer
import time:      1668 |       1668 |         yaml.constructor
import time:      2654 |       2654 |         yaml.resolver
import time:       671 |      14190 |       yaml.loader
import time:       745 |        745 |         yaml.emitter
import time:       542 |        542 |         yaml.serializer
import time:      1208 |       1208 |         yaml.representer
import time:       688 |       3183 |       yaml.dumper
import time:       143 |        143 |           yaml.yaml
import time:      2125 |       2268 |         yaml._yaml
import time:       670 |       2938 |       yaml.cyaml
import time:      1203 |      24040 |     yaml
import time:     14166 |     417531 |   HOwDI.read_inputs
import time:      8350 |    1247310 | HOwDI.create_model
import time:     31139 |      31139 | HOwDI.create_network
import time:      1738 |       1738 |             packaging.__about__
import time:      4728 |       6465 |           packaging
import time:      1828 |       1828 |           packaging._structures
import time:      2950 |      11243 |         packaging.version
import time:      1009 |       1009 |                 importlib.resources
import time:       996 |       2004 |               certifi.core
import time:      1904 |       3908 |             certifi
import time:       108 |        108 |               array
import time:      1005 |       1005 |                 pyproj._compat
import time:       634 |        634 |                 pyproj.exceptions
import time:       787 |        787 |                 pyproj.utils
import time:      2979 |       5404 |               pyproj._datadir
import time:      7848 |      13359 |             pyproj._network
import time:      1344 |      18610 |           pyproj.network
import time:       668 |        668 |           pyproj._show_versions
import time:      1802 |       1802 |               pyproj.aoi
import time:       823 |        823 |               pyproj.crs.datum
import time:      1277 |       1277 |                 pyproj.enums
import time:      1054 |       2331 |               pyproj.crs.enums
import time:      1504 |       1504 |                 pyproj._geod
import time:      1107 |       1107 |                 pyproj.list
import time:       905 |       3515 |               pyproj.geod
import time:      1617 |      10086 |             pyproj._crs
import time:      1930 |       1930 |                   pyproj._transformer
import time:      1287 |       3217 |                 pyproj.crs.coordinate_operation
import time:       715 |       3932 |               pyproj.crs._cf1x8
import time:      1083 |       1083 |               pyproj.crs.coordinate_system
import time:      1582 |       6597 |             pyproj.crs.crs
import time:       662 |      17344 |           pyproj.crs
import time:      2608 |       2608 |           pyproj.database
import time:      1050 |       1050 |               pyproj.datadir
import time:      1079 |       1079 |                   email
import time:      1684 |       1684 |                     http
import time:       927 |        927 |                         email.errors
import time:       684 |        684 |                             email.quoprimime
import time:       582 |        582 |                             email.base64mime
import time:       976 |        976 |                                 quopri
import time:       569 |       1544 |                               email.encoders
import time:       865 |       2408 |                             email.charset
import time:      1178 |       4850 |                           email.header
import time:       882 |        882 |                             email._parseaddr
import time:      1222 |       2103 |                           email.utils
import time:       701 |       7654 |                         email._policybase
import time:      1017 |       9597 |                       email.feedparser
import time:       772 |      10369 |                     email.parser
import time:      1759 |       1759 |                       uu
import time:       829 |        829 |                       email._encoded_words
import time:       848 |        848 |                       email.iterators
import time:      1437 |       4871 |                     email.message
import time:      5095 |       5095 |                       _ssl
import time:      5806 |      10901 |                     ssl
import time:      2143 |      29965 |                   http.client
import time:       622 |        622 |                     urllib.response
import time:       763 |       1385 |                   urllib.error
import time:      1014 |       1014 |                   nturl2path
import time:      2054 |      35495 |                 urllib.request
import time:      1200 |       1200 |                 pyproj._sync
import time:      1158 |      37852 |               pyproj.sync
import time:      3287 |      42188 |             pyproj.transformer
import time:      1010 |      43198 |           pyproj.proj
import time:     15542 |      97968 |         pyproj
import time:      3494 |       3494 |         shapely
import time:       707 |        707 |             shapely.errors
import time:       789 |       1496 |           shapely.ctypes_declarations
import time:      6990 |       8486 |         shapely.geos
import time:      2141 |       2141 |         pygeos
import time:       516 |        516 |               rtree.finder
import time:       575 |        575 |               rtree.exceptions
import time:      3469 |       4559 |             rtree.core
import time:      1446 |       6004 |           rtree.index
import time:      1129 |       7133 |         rtree
import time:      2604 |     133065 |       geopandas._compat
import time:      3733 |     136798 |     geopandas._config
import time:       536 |        536 |             shapely.affinity
import time:       573 |        573 |               shapely.topology
import time:       558 |       1130 |             shapely.coords
import time:       575 |        575 |               shapely.algorithms
import time:       626 |        626 |               shapely.algorithms.cga
import time:       526 |        526 |               shapely.linref
import time:       682 |        682 |               shapely.predicates
import time:       756 |       3163 |             shapely.impl
import time:      1162 |       5990 |           shapely.geometry.base
import time:       489 |        489 |               shapely.geometry.proxy
import time:       596 |       1084 |             shapely.geometry.point
import time:      1314 |       1314 |             shapely.geometry.linestring
import time:      1034 |       1034 |             shapely.geometry.polygon
import time:       890 |        890 |             shapely.geometry.multipoint
import time:       725 |        725 |             shapely.geometry.multilinestring
import time:       586 |        586 |             shapely.geometry.multipolygon
import time:       490 |        490 |             shapely.geometry.collection
import time:       646 |       6766 |           shapely.geometry.geo
import time:      3664 |       3664 |               backports_abc
import time:      1861 |       5525 |             shapely.speedups._speedups
import time:       729 |       6253 |           shapely.speedups
import time:       917 |      19925 |         shapely.geometry
import time:        26 |      19951 |       shapely.geometry.base
import time:       547 |        547 |             shapely.prepared
import time:       595 |        595 |             shapely.algorithms.polylabel
import time:       676 |       1817 |           shapely.ops
import time:       536 |        536 |           shapely.wkt
import time:      1000 |       1000 |           pygeos
import time:       518 |        518 |             shapely.wkb
import time:      1762 |       1762 |             pygeos
import time:       915 |       3194 |           geopandas._vectorized
import time:       560 |        560 |             geopandas._decorator
import time:      1304 |       1863 |           geopandas.sindex
import time:      1011 |       9418 |         geopandas.array
import time:       903 |      10321 |       geopandas.base
import time:       934 |        934 |       geopandas.plotting
import time:      4657 |       4657 |           fractions
import time:        58 |         58 |           _statistics
import time:      1166 |       5881 |         statistics
import time:       771 |       6652 |       geopandas.explore
import time:      1696 |      39551 |     geopandas.geoseries
import time:       597 |        597 |       geopandas.io
import time:      1500 |       2096 |     geopandas.geodataframe
import time:       929 |        929 |     geopandas.io.file
import time:       756 |        756 |     geopandas.io.arrow
import time:       755 |        755 |     geopandas.io.sql
import time:       783 |        783 |       geopandas.tools.geocoding
import time:       614 |        614 |       geopandas.tools.overlay
import time:       564 |        564 |       geopandas.tools.sjoin
import time:       566 |        566 |       geopandas.tools.util
import time:       616 |        616 |       geopandas.tools.clip
import time:       799 |       3940 |     geopandas.tools
import time:       563 |        563 |     geopandas.tools._show_versions
import time:       812 |        812 |     geopandas.datasets
import time:       477 |        477 |     geopandas._version
import time:      6347 |     193020 |   geopandas
import time:       785 |        785 |         matplotlib._api.deprecation
import time:       900 |       1685 |       matplotlib._api
import time:       521 |        521 |       matplotlib._version
import time:      1250 |       1250 |         matplotlib._c_internal_utils
import time:      1349 |       2599 |       matplotlib.cbook
import time:       664 |        664 |       matplotlib.docstring
import time:       815 |        815 |             PIL._version
import time:      5080 |       5894 |           PIL
import time:       673 |        673 |                     xml.parsers
import time:       719 |       1392 |                   xml.parsers.expat
import time:       883 |       2274 |                 defusedxml.common
import time:      1324 |       3598 |               defusedxml
import time:        22 |         22 |               _elementtree
import time:      1637 |       5257 |             defusedxml.ElementTree
import time:       550 |        550 |             PIL.ImageMode
import time:       925 |        925 |             PIL.TiffTags
import time:       504 |        504 |             PIL._binary
import time:       519 |        519 |             PIL._deprecate
import time:       501 |        501 |             PIL._util
import time:      2226 |       2226 |             PIL._imaging
import time:       489 |        489 |                 cffi.lock
import time:       650 |        650 |                 cffi.error
import time:       909 |        909 |                 cffi.model
import time:       958 |       3004 |               cffi.api
import time:      2761 |       5764 |             cffi
import time:      2716 |      18959 |           PIL.Image
import time:       609 |        609 |             PIL.ImageChops
import time:      1060 |       1060 |             PIL.ImageFile
import time:       760 |        760 |               PIL.GimpGradientFile
import time:       571 |        571 |               PIL.GimpPaletteFile
import time:       660 |        660 |               PIL.ImageColor
import time:       615 |        615 |               PIL.PaletteFile
import time:       959 |       3564 |             PIL.ImagePalette
import time:       805 |        805 |             PIL.ImageSequence
import time:     24112 |      30147 |           PIL.PngImagePlugin
import time:      1525 |       1525 |                 matplotlib._path
import time:       745 |        745 |                   matplotlib.bezier
import time:       814 |       1559 |                 matplotlib.path
import time:      1727 |       4810 |               matplotlib.transforms
import time:      1512 |       6321 |             matplotlib.ticker
import time:      1455 |       7776 |           matplotlib.scale
import time:      1032 |       1032 |           matplotlib._color_data
import time:      1608 |      65414 |         matplotlib.colors
import time:       829 |        829 |             pyparsing.util
import time:      1159 |       1159 |               pyparsing.unicode
import time:      2570 |       3729 |             pyparsing.exceptions
import time:       650 |        650 |             pyparsing.actions
import time:       947 |        947 |               pyparsing.results
import time:      8516 |       9462 |             pyparsing.core
import time:      3238 |       3238 |             pyparsing.helpers
import time:      6665 |       6665 |             pyparsing.testing
import time:      4782 |       4782 |             pyparsing.common
import time:      1517 |      30868 |           pyparsing
import time:      1336 |      32203 |         matplotlib.fontconfig_pattern
import time:      1013 |       1013 |         matplotlib._enums
import time:      1216 |       1216 |         cycler
import time:      1138 |     100983 |       matplotlib.rcsetup
import time:      3410 |       3410 |       matplotlib.ft2font
import time:      1285 |       1285 |       kiwisolver._cext
import time:       798 |        798 |         matplotlib._cm
import time:      1581 |       1581 |         matplotlib._cm_listed
import time:      5859 |       8238 |       matplotlib.cm
import time:      9866 |     129246 |     matplotlib
import time:      4866 |       4866 |         matplotlib.artist
import time:       809 |        809 |         matplotlib.hatch
import time:      1044 |       1044 |           matplotlib.markers
import time:     15399 |      16442 |         matplotlib.lines
import time:     75817 |      97934 |       matplotlib.collections
import time:       617 |        617 |             matplotlib._pylab_helpers
import time:      1290 |       1907 |           matplotlib.backend_tools
import time:      1057 |       1057 |             matplotlib._text_helpers
import time:      2114 |       2114 |             matplotlib.dviread
import time:       946 |        946 |                 matplotlib._mathtext_data
import time:       813 |       1758 |               matplotlib.afm
import time:      7484 |       9241 |             matplotlib.font_manager
import time:      4071 |       4071 |               matplotlib._mathtext
import time:      2209 |       6279 |             matplotlib.mathtext
import time:       905 |      19595 |           matplotlib.textpath
import time:       749 |        749 |           matplotlib.tight_bbox
import time:     79163 |      79163 |             matplotlib.patches
import time:      2654 |      81816 |           matplotlib.widgets
import time:       966 |        966 |           matplotlib.backend_managers
import time:      2389 |     107419 |         matplotlib.backend_bases
import time:     15687 |      15687 |         matplotlib.text
import time:      6586 |     129691 |       matplotlib.contour
import time:      4990 |       4990 |       matplotlib.spines
import time:      5681 |     238294 |     matplotlib.colorbar
import time:      1320 |       1320 |       matplotlib._image
import time:     19873 |      21192 |     matplotlib.image
import time:     19325 |      19325 |       matplotlib.style.core
import time:       894 |      20219 |     matplotlib.style
import time:       505 |        505 |       matplotlib._blocking_input
import time:       594 |        594 |                 matplotlib.units
import time:       596 |       1189 |               matplotlib.category
import time:       916 |        916 |                 dateutil.rrule
import time:      1036 |       1952 |               matplotlib.dates
import time:     29150 |      29150 |                 matplotlib.offsetbox
import time:       882 |        882 |                 matplotlib.container
import time:      1138 |       1138 |                 matplotlib.legend_handler
import time:      4486 |      35654 |               matplotlib.legend
import time:      1176 |       1176 |               matplotlib.mlab
import time:     15250 |      15250 |               matplotlib.quiver
import time:       667 |        667 |               matplotlib.stackplot
import time:       915 |        915 |               matplotlib.streamplot
import time:      8701 |       8701 |               matplotlib.table
import time:       807 |        807 |                 matplotlib.tri.triangulation
import time:       964 |        964 |                 matplotlib.tri.tricontour
import time:       695 |        695 |                 matplotlib.tri.tritools
import time:       575 |        575 |                 matplotlib.tri.trifinder
import time:       986 |        986 |                 matplotlib.tri.triinterpolate
import time:       636 |        636 |                 matplotlib.tri.trirefine
import time:       535 |        535 |                 matplotlib.tri.tripcolor
import time:       559 |        559 |                 matplotlib.tri.triplot
import time:       844 |       6597 |               matplotlib.tri
import time:     22938 |      22938 |                 matplotlib.axis
import time:      9787 |      32725 |               matplotlib.axes._base
import time:      8368 |       8368 |               matplotlib.axes._secondary_axes
import time:     30879 |     144067 |             matplotlib.axes._axes
import time:       691 |        691 |               matplotlib.tight_layout
import time:      1134 |       1825 |             matplotlib.gridspec
import time:      8546 |     154438 |           matplotlib.axes._subplots
import time:       695 |     155132 |         matplotlib.axes
import time:     36610 |      36610 |         matplotlib.projections.geo
import time:     23324 |      23324 |         matplotlib.projections.polar
import time:       621 |        621 |               mpl_toolkits.mplot3d.proj3d
import time:     37274 |      37895 |             mpl_toolkits.mplot3d.art3d
import time:     17767 |      17767 |             mpl_toolkits.mplot3d.axis3d
import time:     17058 |      72719 |           mpl_toolkits.mplot3d.axes3d
import time:      2427 |      75146 |         mpl_toolkits.mplot3d
import time:       830 |     291040 |       matplotlib.projections
import time:     14380 |     305924 |     matplotlib.figure
import time:      3201 |     718074 |   matplotlib.pyplot
import time:     23549 |     934642 | HOwDI.create_plot
import time:      1008 |       1008 |             logging.handlers
import time:      1129 |       1129 |             socketserver
import time:      1777 |       3913 |           logging.config
import time:       772 |       4684 |         idaes.config
import time:       902 |        902 |         idaes.ver
import time:      2416 |       8002 |       idaes
import time:       599 |        599 |         idaes.core.process_block
import time:       894 |        894 |             idaes.core.util.model_serializer
import time:       674 |        674 |               idaes.logger
import time:       655 |        655 |                 idaes.core.solvers.config
import time:       588 |        588 |                 idaes.core.solvers.features
import time:       633 |       1875 |               idaes.core.solvers
import time:       642 |        642 |                     xml.dom.domreg
import time:       827 |       1468 |                   xml.dom
import time:       546 |        546 |                   xml.dom.minicompat
import time:       486 |        486 |                     xml.dom.NodeFilter
import time:       684 |       1169 |                   xml.dom.xmlbuilder
import time:      1474 |       4656 |                 xml.dom.minidom
import time:       818 |       5474 |               idaes.core.util.tags
import time:      1607 |       9629 |             idaes.core.util.misc
import time:       729 |      11251 |           idaes.core.util
import time:       819 |      12070 |         idaes.core.util.exceptions
import time:       719 |        719 |         idaes.core.util.tables
import time:       831 |        831 |         idaes.core.util.model_statistics
import time:      1116 |      15332 |       idaes.core.process_base
import time:       603 |        603 |           idaes.core.property_meta
import time:      2771 |       2771 |           idaes.core.phases
import time:      8134 |       8134 |           idaes.core.components
import time:       736 |        736 |           idaes.core.util.config
import time:       782 |        782 |                       scipy._lib._testutils
import time:       735 |       1516 |                     scipy._lib
import time:       649 |       2165 |                   scipy._lib.deprecation
import time:       711 |        711 |                   scipy.__config__
import time:       488 |        488 |                   scipy.version
import time:     20723 |      20723 |                   scipy._distributor_init
import time:       965 |        965 |                   scipy._lib._pep440
import time:      1214 |       1214 |                     scipy._lib._ccallback_c
import time:       612 |       1826 |                   scipy._lib._ccallback
import time:      4739 |      31613 |                 scipy
import time:       860 |        860 |                     scipy._lib._util
import time:       606 |       1465 |                   scipy.sparse._sputils
import time:      1016 |       2480 |                 scipy.sparse._base
import time:      1202 |       1202 |                   scipy.sparse._sparsetools
import time:       745 |        745 |                     scipy.sparse._data
import time:       589 |        589 |                     scipy.sparse._index
import time:      1090 |       2424 |                   scipy.sparse._compressed
import time:       632 |       4257 |                 scipy.sparse._csr
import time:       567 |        567 |                 scipy.sparse._csc
import time:      1763 |       1763 |                   scipy.sparse._csparsetools
import time:       693 |       2456 |                 scipy.sparse._lil
import time:       773 |        773 |                 scipy.sparse._dok
import time:       638 |        638 |                 scipy.sparse._coo
import time:       626 |        626 |                 scipy.sparse._dia
import time:       669 |        669 |                 scipy.sparse._bsr
import time:       693 |        693 |                 scipy.sparse._construct
import time:       552 |        552 |                 scipy.sparse._extract
import time:       546 |        546 |                 scipy.sparse._matrix_io
import time:       750 |        750 |                 scipy.sparse._arrays
import time:       679 |        679 |                   scipy.sparse.csgraph._laplacian
import time:      1122 |       1122 |                       scipy.sparse.csgraph._tools
import time:       550 |       1672 |                     scipy.sparse.csgraph._validation
import time:      1353 |       3024 |                   scipy.sparse.csgraph._shortest_path
import time:      1282 |       1282 |                   scipy.sparse.csgraph._traversal
import time:      1273 |       1273 |                   scipy.sparse.csgraph._min_spanning_tree
import time:      1422 |       1422 |                   scipy.sparse.csgraph._flow
import time:      1730 |       1730 |                   scipy.sparse.csgraph._matching
import time:      1306 |       1306 |                   scipy.sparse.csgraph._reordering
import time:       756 |      11470 |                 scipy.sparse.csgraph
import time:       602 |        602 |                 scipy.sparse.base
import time:       502 |        502 |                 scipy.sparse.bsr
import time:       521 |        521 |                 scipy.sparse.compressed
import time:       522 |        522 |                 scipy.sparse.construct
import time:       482 |        482 |                 scipy.sparse.coo
import time:       517 |        517 |                 scipy.sparse.csc
import time:       469 |        469 |                 scipy.sparse.csr
import time:       519 |        519 |                 scipy.sparse.data
import time:       456 |        456 |                 scipy.sparse.dia
import time:       501 |        501 |                 scipy.sparse.dok
import time:       503 |        503 |                 scipy.sparse.extract
import time:       472 |        472 |                 scipy.sparse.lil
import time:       489 |        489 |                 scipy.sparse.sparsetools
import time:       534 |        534 |                 scipy.sparse.sputils
import time:      1238 |      66404 |               scipy.sparse
import time:      1147 |       1147 |                   scipy.sparse.linalg._isolve._iterative
import time:       822 |        822 |                   scipy.sparse.linalg._interface
import time:       635 |        635 |                   scipy.sparse.linalg._isolve.utils
import time:      1119 |       1119 |                     scipy._lib.decorator
import time:       556 |       1674 |                   scipy._lib._threadsafety
import time:      1541 |       5818 |                 scipy.sparse.linalg._isolve.iterative
import time:       579 |        579 |                 scipy.sparse.linalg._isolve.minres
import time:      1398 |       1398 |                         scipy.linalg._fblas
import time:       113 |        113 |                         scipy.linalg._cblas
import time:       100 |        100 |                         scipy.linalg._fblas_64
import time:       756 |       2366 |                       scipy.linalg.blas
import time:      2085 |       2085 |                         scipy.linalg._flapack
import time:       120 |        120 |                         scipy.linalg._clapack
import time:        92 |         92 |                         scipy.linalg._flapack_64
import time:      1607 |       3903 |                       scipy.linalg.lapack
import time:       776 |       7043 |                     scipy.linalg._misc
import time:      1478 |       1478 |                     scipy.linalg._cythonized_array_utils
import time:       972 |        972 |                         scipy.linalg._flinalg
import time:       571 |       1543 |                       scipy.linalg._flinalg_py
import time:       843 |        843 |                       scipy.linalg._decomp
import time:       869 |        869 |                       scipy.linalg._decomp_svd
import time:      1666 |       1666 |                       scipy.linalg._solve_toeplitz
import time:       825 |       5743 |                     scipy.linalg._basic
import time:       894 |        894 |                     scipy.linalg._decomp_lu
import time:       610 |        610 |                     scipy.linalg._decomp_ldl
import time:       529 |        529 |                     scipy.linalg._decomp_cholesky
import time:       518 |        518 |                     scipy.linalg._decomp_qr
import time:       551 |        551 |                     scipy.linalg._decomp_qz
import time:       656 |        656 |                     scipy.linalg._decomp_schur
import time:       531 |        531 |                     scipy.linalg._decomp_polar
import time:       526 |        526 |                       scipy.linalg._special_matrices
import time:       495 |        495 |                       scipy.linalg._expm_frechet
import time:      1167 |       1167 |                         scipy.linalg._matfuncs_sqrtm_triu
import time:       540 |       1707 |                       scipy.linalg._matfuncs_sqrtm
import time:       574 |       3301 |                     scipy.linalg._matfuncs
import time:       746 |        746 |                     scipy.linalg._solvers
