startHub,endHub,road_geometry
deerPark,leagueCity,"LINESTRING (-95.11678 29.689660000000007, -95.123574 29.689536000000015, -95.123363 29.679203, -95.129547 29.681952, -95.155754 29.68155000000001, -95.156225 29.650277000000003, -95.158797 29.64201500000001, -95.173786 29.627585, -95.202717 29.609202999999994, -95.204686 29.60604099999999, -95.181046 29.58337600000001, -95.127356 29.524908000000007, -95.114436 29.503014000000007, -95.095211 29.507515000000005, -95.092807 29.503735000000006)"
midland,abilene,"LINESTRING (-102.074444 32.00002, -101.832643 32.11355900000003, -101.80826300000001 32.137566999999976, -101.75913300000002 32.14055900000001, -101.645076 32.181624, -101.572249 32.22205000000001, -101.527451 32.23260999999998, -101.503241 32.26055199999999, -101.385304 32.26889500000002, -101.223388 32.307573000000005, -101.200744 32.325022000000004, -101.01144100000002 32.35385900000002, -100.959877 32.38607699999999, -100.906758 32.392989, -100.87328600000001 32.40944600000001, -100.85344400000001 32.41237900000001, -100.81837 32.397163000000006, -100.717112 32.415203000000005, -100.681274 32.40677000000001, -100.46663 32.453417000000016, -100.394856 32.450743, -100.358782 32.48378400000001, -100.269035 32.49625600000001, -100.200485 32.48498000000001, -100.125908 32.495747000000016, -100.106317 32.48553100000001, -100.002903 32.47633, -99.926842 32.459186999999986, -99.74142 32.44917499999999)"
texasCity,leagueCity,"LINESTRING (-94.925086 29.392989999999987, -94.932259 29.395237999999985, -94.989952 29.396491, -94.987555 29.397752000000022, -95.036465 29.450205999999987, -95.050867 29.459753999999975, -95.092504 29.50464, -95.092807 29.503735000000006)"
collegeStation,houston,"LINESTRING (-96.325896 30.62054399999999, -96.103426 30.415067000000008, -96.071272 30.396589000000017, -96.047925 30.336658000000014, -96.04105 30.268415000000005, -96.075337 30.113775000000008, -95.999485 30.081404999999997, -95.920226 30.068360999999996, -95.835223 30.02390799999999, -95.695879 29.972387000000005, -95.56966700000001 29.879892000000005, -95.493242 29.84169699999999, -95.451633 29.803114000000015, -95.431305 29.812544000000006, -95.377579 29.81357799999999, -95.36952 29.760779999999993)"
killeen,waco,"LINESTRING (-97.727369 31.11689299999999, -97.68886600000002 31.095563999999996, -97.617174 31.079767999999998, -97.555058 31.05538799999999, -97.510689 31.055366999999997, -97.468322 31.045815000000008, -97.435662 31.060854999999986, -97.407167 31.084183999999986, -97.362988 31.098593000000015, -97.351779 31.121295000000003, -97.333521 31.129633000000002, -97.30054900000002 31.212805000000003, -97.223822 31.335548000000028, -97.205481 31.402076000000015, -97.131948 31.528863999999984, -97.122567 31.550504000000004, -97.149504 31.571826)"
roundRock,collegeStation,"LINESTRING (-97.67722 30.50904100000001, -97.671436 30.510668000000006, -97.670748 30.518385999999996, -97.646476 30.51939, -97.612809 30.53208999999999, -97.278113 30.594463000000008, -97.174658 30.624547000000007, -97.126447 30.63086199999999, -97.110689 30.628307000000007, -97.059808 30.644458000000004, -97.021597 30.646400999999994, -96.944357 30.68158699999999, -96.819525 30.723615999999996, -96.783494 30.741381, -96.681021 30.817107999999987, -96.654593 30.824373999999995, -96.62066400000002 30.845378000000007, -96.608872 30.855638999999996, -96.602472 30.869781000000007, -96.591307 30.876192000000014, -96.578841 30.859979000000003, -96.536237 30.830189, -96.521946 30.80859199999999, -96.504104 30.797064000000017, -96.48182 30.76443399999999, -96.41496200000002 30.720097000000006, -96.386201 30.719113, -96.351436 30.68989499999998, -96.303172 30.628948999999995, -96.318924 30.615208999999986, -96.325896 30.62054399999999)"
carrolton,dallas,"LINESTRING (-96.89023000000002 32.97557099999998, -96.897061 32.9686, -96.919888 32.96827800000002, -96.90303 32.940526000000006, -96.898137 32.91518799999999, -96.89807 32.869142000000004, -96.878974 32.847263000000005, -96.866458 32.81415299999999, -96.850083 32.811037999999996, -96.816659 32.797117000000014, -96.812196 32.78547300000001, -96.812871 32.77611899999997, -96.809076 32.778424, -96.802903 32.77907999999999, -96.802228 32.77672500000003, -96.795125 32.77823500000001)"
garland,mesquiteCity,"LINESTRING (-96.636544 32.91426999999999, -96.636494 32.912671, -96.630833 32.912109999999984, -96.630525 32.88692399999999, -96.60391 32.863427, -96.602645 32.85802100000001, -96.595676 32.846073999999994, -96.595872 32.782589000000016, -96.597081 32.778882, -96.597208 32.765892999999984, -96.592001 32.765823, -96.591979 32.764117)"
sanJacinto,laPorte,"LINESTRING (-94.783122 29.29613400000001, -94.792118 29.293303000000005, -94.794252 29.299607000000027, -94.835419 29.288825000000006, -94.86594 29.285842000000006, -94.90361 29.304181000000007, -94.930888 29.329533999999995, -94.931544 29.337313999999992, -94.941001 29.34595, -94.947176 29.360937000000035, -94.951046 29.377645999999995, -94.951331 29.399222000000012, -94.958439 29.410811000000002, -94.969967 29.455354999999997, -95.022016 29.544928000000002, -95.03426900000001 29.623245999999995, -95.029848 29.63603299999999, -95.029509 29.652251000000003, -95.02454 29.65249)"
mesquiteCity,dallas,"LINESTRING (-96.591979 32.764117, -96.592001 32.765823, -96.589215 32.766338999999995, -96.597071 32.76659699999999, -96.595724 32.790880000000016, -96.607741 32.792695000000016, -96.651831 32.792515000000016, -96.676078 32.79969499999999, -96.699081 32.794109, -96.717158 32.79507700000001, -96.724134 32.794578999999985, -96.730669 32.791779999999996, -96.759976 32.79078700000001, -96.767066 32.78651700000001, -96.771087 32.78148100000002, -96.780653 32.779804, -96.78605 32.77551400000002, -96.788669 32.775639000000005, -96.792774 32.77912700000002, -96.795125 32.77823500000001)"
